Order,Order_Group,Species,Classification,Classification_Simple,AA_Dist,dN_Dist,dS_Dist,ML_Dist,P_Dist,Ztest_Dist,AA_Sim,dN_Sim,dS_Sim,ML_Sim,P_Sim,Ztest_Sim
Diptera,Diptera_Group_32,Simuliidae_sp,NA,NA,0.0045977092,0.0020263437,0.1833640673,0.0422298108,0.0410958904,2.28E-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_33,Simuliidae_sp,NA,NA,0.0668629452,0.04580004423,0.5294146548,0.1596653906,0.1415525114,3.50E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_34,Drosophilidae_sp,NA,NA,0.01391092145,0.02110697945,0.9573104296,0.1773900126,0.1575342466,0,0,0,0.1036127539,0.024768531,0.0243531202,4.98E-05
Diptera,Diptera_Group_35,Homoneura_hawaiiensis,P,NA,0.004909419127,0.01467349361,0.6872446774,0.1505856923,0.13595823,8.53E-09,0,0,0.02796601782,0.00686568431,0.006818552654,0.220327753
Diptera,Diptera_Group_36,Lauxaniidae_sp,NA,NA,0.001267512127,0.01406850918,0.6425148655,0.1397444223,0.1263566631,1.98E-09,0.002626871185,0.001168264809,0.008601906935,0.003005607029,0.002996991659,0.3567969925
Diptera,Diptera_Group_37,Lauxaniidae_sp,NA,NA,0,0.002421588833,0.2889765414,0.06554906749,0.06291520064,3.93E-08,0,0,0.02788445437,0.0069540109,0.006923748267,0.0693152029
Diptera,Diptera_Group_38,Lauxaniidae_sp,NA,NA,0.001594181156,0.00331247215,0.4169648862,0.08590183566,0.08160947896,8.74E-11,0.0059666168,0.002857007081,0.09491291399,0.02449487317,0.02408152626,0.003580892575
Diptera,Diptera_Group_39,Lauxaniidae_sp,NA,NA,0,0.0022426116,0.4022262895,0.0818877455,0.07780333388,1.00E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_4,Keroplatidae_sp,NA,NA,0.1014008327,0.07771683613,0.6826358652,0.1942557638,0.1686139415,3.00E-11,0,0,0,0,0,1
Diptera,Diptera_Group_40,Pallopteridae_sp,NA,NA,0,0.002103081267,0.4294381218,0.08741263198,0.08241574018,3.33E-08,0,0,0.05462330423,0.01306285076,0.01292608523,0.02126659396
Diptera,Diptera_Group_41,Sphaeroceridae_sp,NA,NA,0,0,0.4261026162,0.0844379455,0.07988342025,1.50E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_42,Lonchaeidae_sp,NA,NA,0.02545614926,0.03638101115,0.6733744423,0.1568515716,0.1403958056,3.48E-10,0,0,0.0182379807,0.0044415343,0.0044247788,0.1561396261
Diptera,Diptera_Group_43,Ceratopogonidae_sp,NA,NA,0.03906475992,0.03007777995,0.695142047,0.1486450811,0.1337705876,1.76E-08,0.002914421038,0.001283663504,0.0006904528909,0.001125784836,0.001124213302,0.7090646183
Diptera,Diptera_Group_44,Zaprionus_sp,NA,NA,0.0151136378,0.01487692766,0.5414691583,0.1271086305,0.1164415044,1.11E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_45,Drosophila_albomicans,NA,NA,0.009744593503,0.0127695602,0.5235421981,0.1092469373,0.1012172557,2.65E-08,0,0,0.007068970755,0.001697228821,0.001694458563,0.5474999655
Diptera,Diptera_Group_46,Drosophilidae_sp,NA,NA,0.01891458068,0.0203230047,0.5388771443,0.1419735309,0.1280602637,5.79E-09,0,0,0,0,0,1
Diptera,Diptera_Group_47,Ephydridae_sp,NA,NA,0.02788358813,0.0298803253,0.6241263413,0.1495056966,0.1339421613,1.82E-08,0,0,0,0,0,1
Diptera,Diptera_Group_48,Dolichopodidae_sp,NA,NA,0.0052948022,0.01691775037,0.7104071825,0.1620258093,0.1453576865,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_49,Chironomidae_sp,NA,NA,0.02894260153,0.02688342419,0.5459752093,0.1394666348,0.1256637168,7.68E-10,0,0,0,0,0,1
Diptera,Diptera_Group_5,Telmatoscopus_sp,NA,NA,0.1017972975,0.0819416414,0.7241524061,0.2062778375,0.1776731772,4.18E-07,0.00662961958,0.002912221827,0.03656641077,0.01058112853,0.01040468901,0.6672548188
Diptera,Diptera_Group_50,Phoridae_sp,NA,NA,0.00501266775,0.0033028448,0.2765698093,0.06005226185,0.05794844945,3.40E-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_51,Phoridae_sp,NA,NA,0.00965887555,0.0225326633,0.6008885939,0.1313411904,0.1202346673,1.30E-06,0,0,0,0,0,1
Diptera,Diptera_Group_52,Dolichopodidae_sp,NA,NA,0.02490912502,0.02727373389,0.4551799806,0.125121317,0.1139770433,1.26E-07,0.0045977092,0.0020188437,0.1161406216,0.0277804266,0.0273972603,3.95E-05
Diptera,Diptera_Group_53,Megaselia_spiracularis,NA,NA,0,0.0121665392,0.5604108014,0.1213487582,0.1111111111,9.67E-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_54,Phoridae_sp,NA,NA,0,0.01952420903,0.5056740301,0.115655159,0.1067464804,1.79E-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_55,Phoridae_sp,NA,NA,0.0034482819,0.0152032233,0.4558935878,0.1014216691,0.09427193345,6.09E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_56,Phoridae_sp,NA,NA,0.01239060065,0.0248109152,0.4298460823,0.1389518874,0.1246790684,6.63E-07,0,0,0.05899503922,0.01336091275,0.01316984957,0.1320270665
Diptera,Diptera_Group_57,Ceratopogonidae_sp,NA,NA,0.02685608264,0.03399149686,0.5067983874,0.1445144996,0.1291750728,7.37E-08,0.002149807137,0.0009407998527,0.007982003296,0.002597128586,0.002585217662,0.6024358344
Diptera,Diptera_Group_58,Culicoides_sp,NA,NA,0.0762273654,0.0515120039,0.4541130483,0.1353891194,0.1218829414,1.64E-08,0,0,0,0,0,1
Diptera,Diptera_Group_59,Ophiomyia_sp,NA,NA,0.0114286958,0.0125947544,0.5354477446,0.1350682781,0.1230382925,1.77E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_6,Chironomidae_sp,NA,NA,0.0713742268,0.06155105153,0.5008135107,0.1628009691,0.1438545536,1.25E-07,0,0,0,0,0,1
Diptera,Diptera_Group_60,Dolichopodidae_sp,NA,NA,0.01372712668,0.02556163431,0.5766913643,0.1525620742,0.1362174793,7.29E-09,0,0,0.03254729597,0.007497597646,0.007397409051,0.5081538984
Diptera,Diptera_Group_61,Ophiomyia_lantanae,P,NA,0.04844816733,0.03636843815,0.6084973343,0.145619785,0.1305896841,7.36E-10,0.002510254147,0.001100037853,0.00349222256,0.001664213573,0.00165977584,0.7408904167
Diptera,Diptera_Group_62,Muscidae_sp,NA,NA,0.0187798947,0.0082588584,0.4189406327,0.0919815101,0.0867579909,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_63,Muscidae_sp,NA,NA,0.0046620131,0.0020547958,0.412217695,0.084523876,0.08,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_64,Muscidae_sp,NA,NA,0.0140517535,0.0096144157,0.6699789357,0.1245366081,0.1153846154,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_65,Muscidae_sp,NA,NA,0.0138570347,0.0122410062,0.4663157537,0.100079931,0.0936073059,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_66,Limnophora_sp,NA,NA,0.0151901655,0.0089087907,0.4150389286,0.0909569198,0.0852359209,9.60E-09,0,0,0.0125789112,0.0030500092,0.00304414,0.1572967504
Diptera,Diptera_Group_67,Limnophora_sp,NA,NA,0.005037794,0.0044378828,0.3479969651,0.0766199472,0.073089701,9.00E-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_68,Limnophora_sp,NA,NA,0.0159722589,0.0070280607,0.2730099636,0.06527299707,0.0625745495,6.42E-09,0,0,0,0,0,1
Diptera,Diptera_Group_69,Limnophora_sp,NA,NA,0.07171628673,0.0365828915,0.5466415026,0.1439693291,0.1297598288,1.00E-09,0.003341694533,0.0014760158,0.0290321245,0.008103194267,0.008055547167,0.06351769697
Diptera,Diptera_Group_7,Chironomidae_sp,NA,NA,0.0566860141,0.05058968458,0.578046246,0.1593880346,0.1415928366,7.25E-10,0,0,0,0,0,1
Diptera,Diptera_Group_70,Diplonevra_peregrina,NA,NA,0.02108040545,0.0180062304,0.4991509466,0.1311581699,0.1191563383,1.40E-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_71,Aedes_albopicuts,NA,NA,0.08133284239,0.07273679875,0.4735450119,0.1672236749,0.1475894917,3.14E-06,0.0005725782377,0.000251528569,0.001906470117,0.0006460735759,0.0006449616074,0.7835154019
Diptera,Diptera_Group_72,Dolichopodidae_sp,NA,NA,0.006276331081,0.01257664371,0.5538319524,0.1454936709,0.1309425263,9.27E-09,0,0,0.101163672,0.02290704713,0.022574034,0.004560966733
Diptera,Diptera_Group_73,Hydrotaea_spinigera,P,NA,0.009501677571,0.0237321075,0.6029363597,0.1481287208,0.1325469305,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_74,Acanthiophilus_sp,NA,NA,0.04875702359,0.03584461634,0.4741809798,0.1255334896,0.1146042575,2.68E-08,0,0,0,0,0,1
Diptera,Diptera_Group_75,Milichiidae_sp,NA,NA,0.02331543343,0.02088920238,0.565185109,0.1365168045,0.1230569742,0,0.0092593254,0.0071380552,0.0557024464,0.0201362462,0.0198170732,0.0122198337
Diptera,Diptera_Group_76,Chrysotus_sp,NA,NA,0.03502187817,0.0293773736,0.6674860157,0.1554308157,0.1389051447,0,0.001870565098,0.0008293877802,0.0008856242242,0.0008381502132,0.0008371193549,0.6663452708
Diptera,Diptera_Group_77,Ornidia_obesa,I,0,0.03278573044,0.02773980379,0.5695582665,0.1344072612,0.1221044784,0,0,0,0.001815149022,0.0004416699551,0.0004413802179,0.8075771842
Diptera,Diptera_Group_78,Heleomyzidae_sp,NA,NA,0.03201544068,0.03333871983,0.4906779968,0.1341085077,0.1209330267,1.32E-08,0,0,0,0,0,1
Diptera,Diptera_Group_79,Limoniidae_sp,NA,NA,0.0023529455,0.00308019565,0.2173201278,0.05021765355,0.0484837295,3.72E-07,0.004705891,0.002064695,0.0264344543,0.0078222827,0.0077760498,0.067945162
Diptera,Diptera_Group_8,Chironomidae_sp,NA,NA,0,0.005463515333,0.3781677639,0.08022466515,0.07565256089,2.67E-10,0,0,0.05832951471,0.01351943991,0.01339421614,0.03510378873
Diptera,Diptera_Group_80,Limoniidae_sp,NA,NA,0.0045977092,0.002751674455,0.2094103373,0.04727073351,0.04586965547,6.88E-08,0,0,0.0191499765,0.0045840513,0.00456621,0.0829067453
