Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,dN/dS_Distance,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
47,Coleoptera_Group_137,Clivina dentipes,native,100.0,100.0,1,1.0,1,0.03377775443,,introduced,0.1905274749218126,0.050379451310563414,0.05783050676409876,0.041723175312406005,0.1724628669363416,0.06532519391654026,0.0,0.03820208068461324,0.0,0.5321156457992704,0.06371976495662902
48,Coleoptera_Group_138,,,,,0,,1,0.02609445384,,introduced,0.18154819525818172,0.050379451310563414,0.048069353130747915,0.041723175312406005,0.1877031418372365,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.04922566622367399
49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,100.0,1,1.0,1,0.03039561124,,introduced,0.18460084906448537,0.050379451310563414,0.05611280506614057,0.041723175312406005,0.18816646061618383,0.06532519391654026,0.03644845167480845,0.03820208068461324,0.0,0.5321156457992704,0.05733954896082981
50,Coleoptera_Group_14,,,,,0,,1,0.0888188675,,introduced,0.39439908459704187,0.050379451310563414,0.25676814299411616,0.041723175312406005,0.3106174456160517,0.06532519391654026,0.25615728886796246,0.03820208068461324,0.0,0.5321156457992704,0.16755161662811507
51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,100.0,1,1.0,2,0.02604908613,,introduced,0.16845259225407377,0.0,0.046685548298090206,0.0,0.18185332577899702,0.0,0.026128999250173403,0.0,0.0,0.9999999999999999,0.04914008268306855
52,Coleoptera_Group_141,,,,,0,,1,0.01731450173,,native,0.16273369059525244,0.050379451310563414,0.02885563006362031,0.041723175312406005,0.16712691223816745,0.06532519391654026,0.024652706280753348,0.03820208068461324,0.0,0.5321156457992704,0.03266279831784385
53,Coleoptera_Group_142,Syntomus americanus,native,100.0,100.0,1,1.0,7,0.027628616569999997,0.0,introduced,0.1636774132309678,0.013895937684655819,0.04728086599973422,0.0,0.17237051265039294,0.018167975716593048,0.04612913127828651,0.0,0.0,0.7591307007265319,0.052119774793366144
54,Coleoptera_Group_143,Calathus ingratus,native,100.0,100.0,1,1.0,14,0.02021729986,0.05934803808999999,introduced,0.20446910754686248,0.015355436704774059,0.04050893048193225,0.025815367153028186,0.2066359118811083,0.016478064431575252,0.03736601959071446,0.025226853497493682,0.0,0.6173955152697272,0.03813875779713544
55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,100.0,1,1.0,3,0.004680720728,0.0,native,0.12521917662633575,0.014585714183245136,0.007148458971528432,0.0,0.15079616794310982,0.018612117921787907,0.0,0.0,0.0,0.5452121524906678,0.008829906832139328
56,Coleoptera_Group_145,Stenolophus comma,native,100.0,100.0,1,1.0,1,0.0,,native,0.09175017006276183,0.050379451310563414,0.0,0.041723175312406005,0.11004601121888902,0.06532519391654026,0.0,0.03820208068461324,5.123485197116122e-14,0.5321156457992704,0.0
57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,100.0,1,1.0,1,0.0,,native,0.09175017006276183,0.050379451310563414,0.0,0.041723175312406005,0.11004601121888902,0.06532519391654026,0.0,0.03820208068461324,5.246203405430281e-14,0.5321156457992704,0.0
58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,100.0,1,1.0,12,0.052116561289999995,0.02517136634,introduced,0.16554335081474608,0.08937202365488078,0.07421690960795543,0.07179896983253663,0.13870652895552693,0.10805520210100748,0.0528409589509992,0.07072810882236094,8.007363092498849e-13,0.10243395544370729,0.09831485519940616
61,Coleoptera_Group_149,Cymindis limbata,native,66.0,50.0,1,1.0,7,0.001077017812,0.029701113169999998,native,0.07117899534720301,0.07312213743765188,0.0010530744455783908,0.0678780121948056,0.08640329737785996,0.08657463040784341,0.0017488096443219875,0.06668648803297758,1.3330265378125477e-11,0.201163169244782,0.0020317313271065443
62,Coleoptera_Group_15,,,,,0,,1,0.11437533359999999,,introduced,0.36265059061362304,0.050379451310563414,0.2527318430388641,0.041723175312406005,0.23077768327624443,0.06532519391654026,0.26963237873922624,0.03820208068461324,6.826200337475073e-12,0.5321156457992704,0.21576240033751803
63,Coleoptera_Group_150,Cymindis platicollis,native,100.0,100.0,1,1.0,3,0.001077017812,0.0,native,0.07117899534720301,0.2568369365141917,0.0010530744455783908,0.0,0.08640329737785996,0.3410463155940593,0.0,0.0,3.5741678171498692e-12,0.0027684316065846163,0.0020317313271065443
64,Coleoptera_Group_151,Myas cyanescens,native,100.0,100.0,1,1.0,15,0.02641777791,0.0,introduced,0.18120198748562,0.015090213261463386,0.048956419400502646,0.0,0.18899614343592694,0.017534437660042843,0.05157642682442136,0.0,0.0,0.6403333761528349,0.04983559823641083
65,Coleoptera_Group_152,,,,,0,,1,0.031674496239999995,,introduced,0.1720882574982998,0.050379451310563414,0.05410563949608356,0.041723175312406005,0.1720044231392946,0.06532519391654026,0.0384671868545792,0.03820208068461324,0.0,0.5321156457992704,0.05975209097203533
66,Coleoptera_Group_153,Synuchus impunctatus,native,100.0,100.0,1,3.0,191,0.026235274930000003,0.03748718408,native,0.19401187700120986,0.05392736698361537,0.0482020098457188,0.06150359243266445,0.18713691601715193,0.062151544018409985,0.042181748600551495,0.05782909120395421,9.035128087129927e-14,0.353317065102707,0.04949131700203856
67,Coleoptera_Group_154,Cymindis neglecta,native,100.0,100.0,1,1.0,20,0.0003757730955,0.003954176057,native,0.08771551471223313,0.2232010336350278,0.00043335908242147527,0.030827910363108533,0.10696865809663428,0.29534004908390027,0.000740943643120521,0.030203274401317388,1.9788311090658073e-08,0.08678957484139863,0.000708874042290351
68,Coleoptera_Group_155,,,,,0,,1,0.0005128541764,,native,0.06081346476399556,0.050379451310563414,0.00043335908242147527,0.041723175312406005,0.0708426629581975,0.06532519391654026,0.0,0.03820208068461324,3.9269826660530753e-10,0.5321156457992704,0.0009674695114785212
69,Coleoptera_Group_156,Olisthopus parmatus,native,100.0,100.0,1,1.0,2,0.01195285061,0.0,native,0.1503056402493418,0.024552573263752955,0.018822480090581607,0.0,0.15636463265686568,0.03205922336801749,0.005355729537307532,0.0,2.715140358950759e-13,0.3175953437274207,0.022548355990013626
70,Coleoptera_Group_157,Scaphinotus viduus,native,100.0,100.0,1,1.0,3,0.01303071673,,native,0.19912810248841528,0.0,0.025912816469390136,0.0,0.20486838985990619,0.0,0.012241667510788874,0.0,0.0,0.9999999999999999,0.024581687600717553
71,Coleoptera_Group_158,,,,,0,,1,0.01853746153,,native,0.14393934771270256,0.050379451310563414,0.028758208924891396,0.041723175312406005,0.15362564570580708,0.06532519391654026,0.012241667510788874,0.03820208068461324,2.4390243902439023e-14,0.5321156457992704,0.03496984069891447
72,Coleoptera_Group_159,Amara lunicollis,native,66.0,50.0,1,1.0,5,0.03222520323999999,,introduced,0.14907548225377887,0.008740039183793858,0.04448429181785575,0.09458456299391794,0.13359244832692846,0.0,0.02778418271642333,0.09336118524290779,5.629697806412027e-13,0.7275358595101304,0.06079096762893955
73,Coleoptera_Group_16,Nicrophorus orbicollis,native,100.0,100.0,1,1.0,1,0.05637250941000001,,introduced,0.3391336862597319,0.050379451310563414,0.1783317250305458,0.041723175312406005,0.3425573162582406,0.06532519391654026,0.17670195084108678,0.03820208068461324,0.0,0.5321156457992704,0.1063434532649173
74,Coleoptera_Group_160,,,,,0,,1,0.01398096591,,native,0.12944106214816709,0.050379451310563414,0.021474314670121935,0.041723175312406005,0.15182217277286086,0.06532519391654026,0.012525912065906425,0.03820208068461324,0.0,0.5321156457992704,0.026374277292412745
75,Coleoptera_Group_161,Apenes lucidula lucidula,native,33.0,,1,1.0,8,0.01842435291,0.0,native,0.14253233809169236,0.01748682769502631,0.02737315978613674,0.0,0.1459315890545492,0.022927484527386327,0.005355729537307532,0.0,9.464641816229484e-12,0.5814153538844911,0.034756467879951486
76,Coleoptera_Group_162,Agonum gratiosum,native,100.0,100.0,1,1.0,6,0.01046931834,0.0,native,0.11517434585910653,0.026274799845468322,0.014611149972076874,0.0,0.13537346805825548,0.0340702588925149,0.0,0.0,8.927749654855039e-13,0.49436164053292314,0.019749758832056423
