Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
482,Ephemeroptera_Group_8,Ephemerella invaria,native,100.0,2.0,native,0.1415420383776212,0.858457961622379,0.2056344918992569,0.03173635982883796,0.0,0.0,0.2865323562843585,0.014204362401049135,0.0,0.0,0.0,0.08291284469214451,0.0,0.0
483,Ephemeroptera_Group_9,Leptophlebia intermedia,native,100.0,3.0,native,0.23374150154845086,0.7662584984515496,0.28817793863560703,0.05661487852666033,0.03409645801506664,0.0,0.4472429521145045,0.025965278121672406,0.012767567903869414,0.0,0.0,0.1099912757346641,0.01585548514947818,0.0
484,Hemiptera_Group_1,Magicicada septendecim,native,66.0,3.0,introduced,0.6724251020563831,0.32757489794361666,0.4636438787663247,0.011482597411973166,0.34095978872020577,0.03746829034327845,0.2554445135154693,0.0,0.3019243552201405,0.06510070642672383,0.0007179321981899063,0.5456550725077203,0.26576948270939865,
485,Hemiptera_Group_10,Megamelus davisus,,66.0,1.0,introduced,0.6765900672347929,0.32340993276520663,0.3448616148873334,,0.13093978572250936,,0.3426023432881642,,0.12501339740298884,,5.9825126553152315e-06,,0.07807302959131765,
486,Hemiptera_Group_100,,,,1.0,introduced,0.6451923816835421,0.35480761831645813,0.14387491193250268,,0.0609897279202007,,0.151749006448948,,0.09953892605240731,,3.0832949838932354e-07,,0.0749366905680536,
487,Hemiptera_Group_101,,,,1.0,native,0.47498384981256747,0.5250161501874326,0.22327930942025448,,0.035851115341818014,,0.2949089311993596,,0.02865785746350831,,9.111826967326277e-09,,0.0245317046297118,
488,Hemiptera_Group_102,,,,1.0,native,0.40976801309343946,0.5902319869065603,0.1943300691549514,,0.02382835155383313,,0.2541967635619095,,0.02865785746350831,,1.2916091425065193e-09,,0.018655663637952867,
489,Hemiptera_Group_103,Typhlocyba frustrator,native,0.0,3.0,native,0.4010318828341343,0.598968117165866,0.1943300691549514,0.05428995943899366,0.02382835155383313,0.02156079311873071,0.2541967635619095,0.02244198589000079,0.02865785746350831,0.0379876446339672,7.731247123791992e-07,0.054150973584812474,0.018655663637952867,0.06831377034076302
490,Hemiptera_Group_104,,,,1.0,introduced,0.6769842380246344,0.32301576197536525,0.3512183036377897,,0.29248662586205226,,0.22224157749023532,,0.3131994383883562,,0.0001782942169044332,,0.2582131953572408,
491,Hemiptera_Group_105,Flexamia atlantica,native,33.0,1.0,native,0.1407360346370243,0.8592639653629756,0.16254428236143714,,0.0071556642181788595,,0.21442943563320352,,0.012241675535187967,,3.451449608835711e-10,,0.00652057668585822,
492,Hemiptera_Group_106,Flexamia clayi,native,66.0,1.0,native,0.1407360346370243,0.8592639653629756,0.16254428236143714,,0.0071556642181788595,,0.21442943563320352,,0.012241675535187967,,7.194354962417549e-10,,0.00652057668585822,
493,Hemiptera_Group_107,Euscelis aemulans,,33.0,1.0,introduced,0.667117666895766,0.33288233310423404,0.34454700347294154,,0.18077715756299112,,0.33671690076236854,,0.1677061696154149,,5.752416014726184e-09,,0.10952712456334174,
494,Hemiptera_Group_108,Glossonotus univittatus,native,66.0,1.0,introduced,0.671187248029151,0.32881275197084897,0.27873954254641825,,0.13732591071663744,,0.31795481747811954,,0.1897816927453842,,2.6844608068722194e-07,,0.08771119284927653,
495,Hemiptera_Group_109,Cyrtolobus puritanus,native,66.0,1.0,native,0.3082314270579114,0.6917685729420889,0.11367926316039312,,0.01477815573153068,,0.14283601714328148,,0.02571942950695123,,2.116889093419236e-05,,0.019103875937493645,
496,Hemiptera_Group_11,Tumidagena terminalis,native,66.0,1.0,introduced,0.6764976422086734,0.3235023577913264,0.2768583666094374,,0.1685429319773448,,0.26882168846503873,,0.16368586542488917,,0.00012900751649025922,,0.1254578564526662,
497,Hemiptera_Group_110,Cyrtolobus pallidifrontis,native,66.0,1.0,native,0.2717753657329009,0.7282246342670994,0.11367926316039312,,0.01477815573153068,,0.14283601714328148,,0.02571942950695123,,2.285626629851204e-06,,0.019103875937493645,
498,Hemiptera_Group_111,Balcanocerus fitchi,native,33.0,1.0,introduced,0.6754514170578999,0.32454858294209976,0.32059473683899875,,0.16076768256249338,,0.241427156109137,,0.1740293426061863,,4.9547476606841536e-05,,0.13182945054206996,
499,Hemiptera_Group_112,Neokolla hieroglyphica,native,33.0,4.0,introduced,0.683294385302239,0.31670561469776015,0.27938722353208956,0.061286812656562766,0.06588493721537562,0.0,0.26302643310439816,0.03008017256144945,0.06704109939403216,0.0,5.4302807179015186e-05,0.0709994442334786,0.050018560256708686,0.0
500,Hemiptera_Group_113,Tylozygus bifidus,native,66.0,3.0,introduced,0.6942584125922683,0.30574158740773066,0.25957548635857247,0.04071282478399048,0.11797673032568869,0.0,0.2361975275946957,0.019311397879470497,0.12191070999695958,0.0,2.5770823745973304e-05,0.3425779646892516,0.09865445055029014,0.0
501,Hemiptera_Group_114,,,,1.0,introduced,0.6730697204615504,0.3269302795384491,0.21316425733167557,,0.06588493721537562,,0.20631000353481943,,0.06061467913490666,,0.0006417702101549317,,0.06211622766230482,
502,Hemiptera_Group_115,Cuerna septentrionalis,native,33.0,3.0,introduced,0.7206469630203173,0.2793530369796822,0.21316425733167557,0.0,0.08880895063486623,0.0,0.1755337478130018,0.0,0.06946136515303586,0.0,0.001611596870685688,0.9999999999999999,0.09637791791175256,
503,,Cuerna striata,native,66.0,,introduced,0.664337879925706,0.33566212007429375,,,,,,,,,,,,
504,Hemiptera_Group_116,Graphocephala versuta,native,33.0,7.0,introduced,0.7114486933714176,0.2885513066285818,0.2792324218384249,0.003614314250391091,0.0875376244193188,0.005003526954023949,0.20357007652752412,0.0009727329123283327,0.06061467913490666,0.008871058951708713,0.001692176714219972,0.855817614448978,0.08350605620389853,0.36575261614777405
505,Hemiptera_Group_117,Draeculacephala manitobiana,native,33.0,2.0,introduced,0.5872442056996563,0.4127557943003438,0.14708588002688094,0.13366559544417245,0.03203227428056011,0.03203040260009787,0.173675734980161,0.06143728238968217,0.03689436817446285,0.056981529203122355,0.0013854885718668508,0.0006493015249981087,0.035082268852175975,0.03707107742658995
506,,Draeculacephala noveboracensis,native,33.0,,introduced,0.664337879925706,0.33566212007429375,,,,,,,,,,,,
507,Hemiptera_Group_118,Draeculacephala zeae,native,33.0,3.0,introduced,0.6561491659680105,0.3438508340319893,0.14708588002688094,0.0,0.03203227428056011,0.0,0.173675734980161,0.0,0.03689436817446285,0.0,0.0004762693664672496,0.9999999999999999,0.035082268852175975,
508,Hemiptera_Group_119,Elymana inornata,native,66.0,1.0,introduced,0.6776932872434632,0.3223067127565362,0.29687911736957096,,0.09397663260890095,,0.25541107496641097,,0.10549872750416554,,4.801349900291456e-05,,0.07326103177734666,
509,Hemiptera_Group_12,Neomegamelanus elongatus,native,100.0,1.0,introduced,0.6774372962669101,0.3225627037330896,0.2768583666094374,,0.1685429319773448,,0.24536328387998346,,0.164460273433539,,0.00025988648565730937,,0.13621651673933138,
510,Hemiptera_Group_120,Limotettix humidus,native,66.0,1.0,introduced,0.6361619087671627,0.3638380912328375,0.28213453774953323,,0.05247457516599925,,0.276085145285837,,0.044705211261431,,1.0921920539960116e-08,,0.0381279300555796,
511,Hemiptera_Group_121,Macrosteles borealis,native,66.0,1.0,introduced,0.6553094411860673,0.34469055881393285,0.3252118873892888,,0.0849899321132209,,0.3732792733335341,,0.09067985571167501,,5.154164749194662e-09,,0.04680315400958691,
512,Hemiptera_Group_122,,,,1.0,introduced,0.6760855077997324,0.3239144922002673,0.23484459671708446,,0.14118106017316348,,0.22768407050872674,,0.16368586542488917,,0.00017892314772204325,,0.12198644678442654,
513,Hemiptera_Group_123,Pendarus punctiscriptus,native,66.0,1.0,introduced,0.6746648860708941,0.32533511392910547,0.2094976303178518,,0.07536739104937969,,0.23524976788826046,,0.0617763981398694,,5.29222273354809e-05,,0.06325042542670392,
514,Hemiptera_Group_124,Paraphlepsius lobatus,native,66.0,1.0,introduced,0.5597989562444645,0.44020104375553576,0.1552516291246178,,0.03563514605031589,,0.18078742263321573,,0.024539628856028024,,0.0002927442859334254,,0.03770001342782417,
