Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
67,Coleoptera_Group_154,Cymindis neglecta,native,100.0,100.0,1,1.0,20,native,0.018410223202767185,0.9815897767972327,0.08771551471223313,0.10323894512187676,0.00043335908242147527,0.004212156175874982,0.10696865809663428,0.0491467128809908,0.000740943643120521,0.0073736452169934005,1.9788311090658073e-08,0.08678957484139863,0.000708874042290351,0.006094173261241815
68,Coleoptera_Group_155,,,,,0,,1,native,0.030742416028046244,0.9692575839719536,0.06081346476399556,,0.00043335908242147527,,0.0708426629581975,,0.0,,3.9269826660530753e-10,,0.0009674695114785212,
69,Coleoptera_Group_156,Olisthopus parmatus,native,100.0,100.0,1,1.0,2,native,0.1853134454049896,0.8146865545950109,0.1503056402493418,0.011356496529143566,0.018822480090581607,0.0,0.15636463265686568,0.00533488584072087,0.005355729537307532,0.0,2.715140358950759e-13,0.3175953437274207,0.022548355990013626,0.0
70,Coleoptera_Group_157,Scaphinotus viduus,native,100.0,100.0,1,1.0,3,native,0.38437770587999487,0.6156222941200052,0.19912810248841528,0.0,0.025912816469390136,0.0,0.20486838985990619,0.0,0.012241667510788874,0.0,0.0,0.9999999999999999,0.024581687600717553,
71,Coleoptera_Group_158,,,,,0,,1,native,0.39319010156808976,0.606809898431911,0.14393934771270256,,0.028758208924891396,,0.15362564570580708,,0.012241667510788874,,2.4390243902439023e-14,,0.03496984069891447,
72,Coleoptera_Group_159,Amara lunicollis,native,66.0,50.0,1,1.0,5,introduced,0.668116113037962,0.33188388696203724,0.14907548225377887,0.004042599673324914,0.04448429181785575,0.01292351464840235,0.13359244832692846,0.0,0.02778418271642333,0.022792636582117567,5.629697806412027e-13,0.7275358595101304,0.06079096762893955,
73,Coleoptera_Group_16,Nicrophorus orbicollis,native,100.0,100.0,1,1.0,1,introduced,0.6810105740814552,0.3189894259185445,0.3391336862597319,,0.1783317250305458,,0.3425573162582406,,0.17670195084108678,,0.0,,0.1063434532649173,
74,Coleoptera_Group_160,,,,,0,,1,native,0.3309220318121794,0.669077968187821,0.12944106214816709,,0.021474314670121935,,0.15182217277286086,,0.012525912065906425,,0.0,,0.026374277292412745,
75,Coleoptera_Group_161,Apenes lucidula lucidula,native,33.0,,1,1.0,8,native,0.3691145687148308,0.63088543128517,0.14253233809169236,0.008088321166623932,0.02737315978613674,0.0,0.1459315890545492,0.003815298679085376,0.005355729537307532,0.0,9.464641816229484e-12,0.5814153538844911,0.034756467879951486,0.0
76,Coleoptera_Group_162,Agonum gratiosum,native,100.0,100.0,1,1.0,6,native,0.07273244191548514,0.9272675580845153,0.11517434585910653,0.012153091655346636,0.014611149972076874,0.0,0.13537346805825548,0.005669536646876421,0.0,0.0,8.927749654855039e-13,0.49436164053292314,0.019749758832056423,0.0
77,Coleoptera_Group_163,Agonum retractum,native,100.0,100.0,1,1.0,26,native,0.11632963625816496,0.8836703637418359,0.11517434585910653,0.014597231337079955,0.014611149972076874,0.0,0.13537346805825548,0.0067709608234363585,0.012525912065906425,0.0,3.911642890013805e-13,0.4896614103519643,0.019749758832056423,0.0
78,Coleoptera_Group_164,Anisodactylus rusticus,native,100.0,100.0,1,1.0,1,native,0.33321230091213877,0.6667876990878616,0.13674155437820418,,0.02149599145644649,,0.15362564570580708,,0.012241667510788874,,0.0,,0.026139019957449574,
79,Coleoptera_Group_165,Agonoleptus conjunctus,native,100.0,100.0,1,1.0,1,native,0.44690274695135423,0.5530972530486455,0.13812709177912502,,0.02513791444921853,,0.12535920287124452,,0.024539618959269142,,0.0,,0.0361947682546432,
80,Coleoptera_Group_166,Gastrellarius honestus,native,100.0,100.0,1,1.0,4,introduced,0.6195089125531488,0.38049108744685056,0.13536611732723525,0.005370950158560038,0.0423759812803,0.0,0.1402983561298981,0.002490870596893119,0.020792491551043325,0.0,5.813775118883264e-13,0.6588547768659089,0.05560494282809296,0.0
81,Coleoptera_Group_167,,,,,0,,1,native,0.16132619109364488,0.8386738089063555,0.12746046086619445,,0.007153261404533058,,0.1445923375209192,,0.0,,0.0,,0.009153098187673204,
82,Coleoptera_Group_168,Pterostichus coracinus,native,100.0,100.0,2,3.0,60,native,0.4416869596010077,0.5583130403989922,0.10460252482188369,0.005338171514638536,0.03655171624522733,0.008597034058702347,0.10925157218894205,0.0012447588758135626,0.025795435630851647,0.015198369669113898,2.8531983433041877e-12,0.8079481026060018,0.058796919563450914,0.491098065677135
83,Coleoptera_Group_168,Pterostichus rostratus,native,100.0,100.0,2,1.0,60,native,0.4416869596010077,0.5583130403989922,0.10460252482188369,0.005338171514638536,0.03655171624522733,0.008597034058702347,0.10925157218894205,0.0012447588758135626,0.025795435630851647,0.015198369669113898,2.8531983433041877e-12,0.8079481026060018,0.058796919563450914,0.491098065677135
84,Coleoptera_Group_169,Pterostichus adoxus,native,100.0,100.0,2,2.0,26,native,0.08278778449869517,0.9172122155013044,0.015177286089680775,0.0022064316386996912,0.006026682635072879,0.0,0.018947869177231874,0.0010373944561133915,0.0003285031419668396,0.0,3.2366927442859336e-06,0.8562670444662811,0.02826752276012537,0.0
85,Coleoptera_Group_169,Pterostichus coracinus,native,100.0,100.0,2,3.0,26,native,0.08278778449869517,0.9172122155013044,0.015177286089680775,0.0022064316386996912,0.006026682635072879,0.0,0.018947869177231874,0.0010373944561133915,0.0003285031419668396,0.0,3.2366927442859336e-06,0.8562670444662811,0.02826752276012537,0.0
86,Coleoptera_Group_17,Podabrus flavicollis,native,66.0,50.0,1,1.0,2,native,0.29939646148186017,0.70060353851814,0.1685617599108542,0.0,0.021388042657693687,0.0,0.21606838208655624,0.0,0.0,0.0,0.0,0.9999999999999999,0.019359011557694327,
87,Coleoptera_Group_170,Pterostichus luctuosus,native,100.0,100.0,1,1.0,1,native,0.41533154463685945,0.5846684553631405,0.09198441713030713,,0.03580290432344417,,0.0924356756849076,,0.024539618959269142,,2.5157232704402513e-11,,0.06562124494993114,
88,Coleoptera_Group_171,Pterostichus lachrymosus,native,100.0,100.0,1,1.0,15,native,0.0719376103119381,0.9280623896880615,0.06413540551542246,0.0,0.0072837701567205395,0.0,0.07359211947362723,0.0,0.0,0.0,4.233778186838472e-10,0.9999999999999999,0.015821669261266966,
89,Coleoptera_Group_172,Poecilus lucublandus,native,100.0,100.0,1,3.0,8,native,0.4501392242143857,0.5498607757856142,0.11334191022356709,0.0427628821870244,0.040958368540217185,0.008071046681650606,0.11492656690393341,0.019178239252574815,0.025431859464311982,0.01425475125260044,1.3882497315539193e-12,0.16947717802487133,0.06327284384343794,0.029924433325941097
90,Coleoptera_Group_173,Pterostichus mutus,native,100.0,100.0,1,1.0,16,native,0.44333835870903754,0.5566616412909623,0.10491032383494824,0.009114201215980855,0.03335668574086036,0.0,0.1047431373492583,0.0035875226489433414,0.025527222862197774,0.0,4.295137290995551e-11,0.6570839367977315,0.055477235194932785,0.0
91,Coleoptera_Group_174,Pterostichus adstrictus,native,66.0,100.0,1,1.0,8,native,0.10856516415767066,0.8914348358423295,0.023533046530777785,0.004905364926965239,0.007774479453271662,0.0,0.027018809348147155,0.0022878694748365656,0.01318587175079041,0.0,1.7180549163982205e-06,0.6832304078043706,0.03113429933608029,0.0
92,Coleoptera_Group_175,,,,,0,,1,introduced,0.5349890914373391,0.46501090856266075,0.1280936585839435,,0.03230943546285579,,0.12648904647928785,,0.0370647922347997,,2.500383494400981e-12,,0.04618085367380417,
93,Coleoptera_Group_176,Notiobia terminata,native,66.0,100.0,1,1.0,1,native,0.20670157926165125,0.7932984207383484,0.11538549991226112,,0.021488761010421045,,0.1266506737588946,,0.012241667510788874,,0.0,,0.03068247504017983,
94,Coleoptera_Group_177,Harpalus pensylvanicus,native,100.0,100.0,1,1.0,2,native,0.47187965663301223,0.5281203433669875,0.07810931793336394,0.0,0.046654076763141844,0.0,0.07169363430811604,0.0,0.06177641097890796,0.0,3.4821291609142503e-09,0.9999999999999999,0.10326734615616823,
95,Coleoptera_Group_178,Harpalus faunus,native,100.0,100.0,1,1.0,1,native,0.3175400833214983,0.6824599166785017,0.07810931793336394,,0.024208874893708106,,0.07169363430811604,,0.027720641298206544,,3.650866697346219e-10,,0.05358559073143829,
96,Coleoptera_Group_179,Anisodactylus discoideus,native,100.0,100.0,1,1.0,1,native,0.15805057883484358,0.8419494211651564,0.07882426994009915,,0.021488761010421045,,0.08160915199486027,,0.012241667510788874,,3.819604233778186e-10,,0.04326923377502169,
97,Coleoptera_Group_18,Podabrus rugosulus,native,66.0,50.0,1,1.0,2,native,0.23531926392172017,0.7646807360782797,0.1685617599108542,0.010106499183312283,0.021388042657693687,0.0,0.21606838208655624,0.004704593744651175,0.0,0.0,3.589507593189139e-13,0.3177992037352693,0.019359011557694327,0.0
